Gene	Evidence context	Bulk module role	Reported curcumin relation	Reported direction	Rectal B-lineage delta	Rectal B-lineage P value	Rectal B-lineage FDR across 22 genes	M/DC delta	M/DC P value	Tested in rectal B-lineage	PubMed IDs	Reference context
IL1B	Bulk-aligned and B-lineage increased	Consensus up-module	downregulate/suppress	down	0.00113324	1.0	1.0	0.516526	0.116667	yes	36196887;36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
CCL2	Bulk-aligned cytokine-context target	Consensus up-module	suppress/inhibit	down			1.0			no	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
IL33	Bulk-aligned cytokine-context target	Consensus up-module	suppress/inhibit	down			1.0			no	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
BLNK	Selected B-cell-context gene	Not in consensus top module	upregulate/increase	up	0.281591	0.0424242	0.3111108	0.0465185	0.731657	yes	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling
SYK	Selected B-cell-context gene	Not in consensus top module	suppress/inhibit	down	0.2135	0.0424242	0.3111108	-0.156981	0.666667	yes	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling
SH3KBP1	Additional literature-context gene	Not in consensus top module	suppress/inhibit	down	0.0850511	0.315152	0.7703715555555556	0.107259	1.0	yes	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling
BCL6	Selected B-cell-context gene	Not in consensus top module	suppress/inhibit	down	0.0721226	0.0179007	0.3111108	-0.312126	0.109531	yes	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling
TNF	B-lineage increased context gene	Not in consensus top module	downregulate/suppress	down	0.247649	0.109091	0.48000039999999994	0.0843929	0.666667	yes	36196887;36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
JAK1	B-lineage increased context gene	Not in consensus top module	suppress/inhibit	down	0.242715	0.163636	0.5999986666666667	0.0716316	0.833333	yes	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis
PIAS1	B-lineage increased context gene	Not in consensus top module	upregulate/increase	up	0.0824401	0.230303	0.6333332500000001	-0.366305	0.0166667	yes	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis
IL7	B-lineage increased context gene	Not in consensus top module	not resolved	down	0.0748855	0.0727273	0.40000015	0.0289036	0.62678	yes	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis
STAT5A	B-lineage increased context gene	Not in consensus top module	suppress/inhibit	down	0.0486891	0.230303	0.6333332500000001	0.0126604	1.0	yes	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis
IL15	B-lineage increased context gene	Not in consensus top module	not resolved	down	0.0324155	0.412121	0.9066662000000001	0.0333446	0.62678	yes	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis
IL10	Literature context target	Not in consensus top module	upregulate/increase	up			1.0			no	36196887;36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
IL12A	Literature context target	Not in consensus top module	upregulate/increase	up			1.0			no	36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling
IL13	Literature context target	Not in consensus top module	upregulate/increase	up			1.0			no	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
IL22	Literature context target	Not in consensus top module	not resolved	down			1.0			no	33597887	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis
IL4	Literature context target	Not in consensus top module	upregulate/increase	up			1.0			no	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
IL6	Literature context target	Not in consensus top module	downregulate/suppress	down			1.0			no	36196887;36353208	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling || Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
INS	Literature context target	Not in consensus top module	downregulate/decrease	down			1.0			no	35234309	Curcumin regulates the homeostasis of Th17/Treg and improves the composition of gut microbiota in type 2 diabetic mice with colitis
LOC102723407	Literature context target	Not in consensus top module	upregulate/increase	up			1.0			no	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
IFNG	Literature context target	Not in consensus top module	suppress/inhibit	down	-0.0221544	0.787879	1.0	-0.0316286	0.19043	yes	36196887	Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway
